db_id,price,date_of_transfer,postcode,property_type,new_build_flag,tenure_type,locality,town_city,district,county,country,latitude,longitude
24884090,1000,2019-01-08,DY10 1AE,O,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38485300,-2.24800400
24418587,110000,2019-04-26,DY10 1AF,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38461500,-2.24774200
24365671,1450000,2019-01-10,DY10 1EL,O,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38660700,-2.24730800
24780921,33000,2019-10-22,DY10 1EN,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38618700,-2.24629200
24780922,39000,2019-10-22,DY10 1EN,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38618700,-2.24629200
24780923,33000,2019-10-22,DY10 1EN,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38618700,-2.24629200
24780924,39000,2019-10-22,DY10 1EN,F,N,L,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38618700,-2.24629200
24842940,35000,2019-04-03,DY10 1EN,O,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.38618700,-2.24629200
24857387,156500,2019-02-28,DY10 1JX,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37192500,-2.24554100
24898792,157000,2019-05-31,DY10 1JX,T,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37192500,-2.24554100
24864264,100500,2019-08-23,DY10 1LA,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37881200,-2.24976600
24697711,120000,2019-05-10,DY10 1LB,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37612300,-2.25003000
24647944,111000,2019-11-22,DY10 1LF,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37905100,-2.24710900
24737921,119000,2019-02-15,DY10 1LF,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37905100,-2.24710900
24530931,187000,2019-01-16,DY10 1LG,S,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37642400,-2.24609100
25058119,294000,2019-09-27,DY10 1LG,D,N,F,,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,England,52.37642400,-2.24609100
